강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2019학년도,   학기 : 2학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
교양,인문대학,국어국문학과,학사,1학년,031.001,001,글쓰기의 기초,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,083-201/083-201,이은주,45,25 (25),21,®2018학번 포함 이전학번만 수강가능 / 졸업 예정자에 한하여 초안지를 받음. 문의는 국어국문학과 사무실로.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,002,글쓰기의 기초,,3,3,0,월(12:30~13:45)/수(12:30~13:45),이론/이론,083-201/083-201,이은주,80,25 (25),22,®2018학번 포함 이전학번만 수강가능 / 졸업 예정자에 한하여 초안지를 받음. 문의는 국어국문학과 사무실로.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,003,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,083-201/083-201,이은주,66,25 (25),24,®2018학번 포함 이전학번만 수강가능 / 졸업 예정자에 한하여 초안지를 받음. 문의는 국어국문학과 사무실로.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,004,글쓰기의 기초,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,083-201/083-201,이은주,52,25 (25),20,®2018학번 포함 이전학번만 수강가능 / 졸업 예정자에 한하여 초안지를 받음. 문의는 국어국문학과 사무실로.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,005,글쓰기의 기초,,3,3,0,금(09:00~11:50),이론,083-202,박혜승,26,20 (20),7,®외국인 / 2018학번 포함 이전학번만 수강가능 / 졸업 예정자에 한하여 초안지를 받음. 문의는 국어국문학과 사무실로.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,006,글쓰기의 기초,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,083-602/083-602,김승민,26,25 (25),23,®2018학번 포함 이전학번만 수강가능 / 졸업 예정자에 한하여 초안지를 받음. 문의는 국어국문학과 사무실로.,한국어,설강
교양,기초교육원,,학사,1학년,031.002,001,인문학글쓰기,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,008-304/008-304,이유선,42,25 (25),22,®2018학번 포함 이전학번 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.003,001,사회과학글쓰기,,3,3,0,월(17:00~18:15)/수(17:00~18:15),이론/이론,083-202/083-202,정지웅,22,25 (25),24,®2018학번 포함 이전학번 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.004,001,과학과 기술 글쓰기,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,043-1-403/043-1-403,현영종,44,25 (25),24,®2018학번 포함 이전학번 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.004,002,과학과 기술 글쓰기,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,043-1-403/043-1-403,정지웅,40,25 (25),24,®2018학번 포함 이전학번 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.004,003,과학과 기술 글쓰기,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,043-1-405/043-1-405,정태창,51,25 (25),23,®2018학번 포함 이전학번 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.004,004,과학과 기술 글쓰기,,3,3,0,수(14:00~16:50),이론,083-203,박치현,6,25 (25),11,®2018학번 포함 이전학번 수강가능 / 추후 강의실 건물이 변경될 수도 있음,한국어,설강
교양,기초교육원,,학사,1학년,031.031,001,말하기와 토론,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,043-1-303/043-1-303,김종영,34,25 (25),23,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,002,말하기와 토론,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,043-1-303/043-1-303,김종영,73,25 (25),24,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,003,말하기와 토론,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,043-1-303/043-1-303,김종영,46,25 (25),23,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,004,말하기와 토론,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,043-1-303/043-1-303,김종영,38,25 (25),20,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,005,말하기와 토론,,3,3,0,월(14:00~16:50),이론,083-401,황은미,17,25 (25),12,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,006,말하기와 토론,,3,3,0,화(10:00~12:50),이론,083-401,황은미,22,25 (25),14,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,007,말하기와 토론,,3,3,0,화(09:30~12:20),이론,043-1-405,홍은영,11,25 (25),3,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,008,말하기와 토론,,3,3,0,목(09:30~12:20),이론,043-1-405,홍은영,19,25 (25),3,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,009,말하기와 토론,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,014-102/014-102,백미숙,32,25 (25),19,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,010,말하기와 토론,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,014-102/014-102,백미숙,32,25 (25),17,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,011,말하기와 토론,,3,3,0,수(15:00~17:50),이론,083-401,유혁,34,25 (25),14,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,012,말하기와 토론,,3,3,0,금(10:00~12:50),이론,014-102,백미숙,27,25 (25),22,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,013,말하기와 토론,,3,3,0,금(14:00~16:50),이론,043-1-405,김용신,31,25 (25),22,,한국어,설강
교양,기초교육원,,학사,1학년,031.032,001,창의적 사고와 표현,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,043-1-303/043-1-303,김재호,72,25 (25),26,,한국어,설강
교양,기초교육원,,학사,1학년,031.032,002,창의적 사고와 표현,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,043-1-303/043-1-303,김재호,60,25 (25),25,,한국어,설강
교양,기초교육원,,학사,1학년,031.032,003,창의적 사고와 표현,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,008-302/008-302,이상원,44,25 (25),18,,한국어,설강
교양,인문대학,철학과,학사,1학년,031.033,001,논리와 비판적 사고,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,006-106/006-106,이주한,58,40 (40),34,,한국어,설강
교양,인문대학,철학과,학사,1학년,031.033,002,논리와 비판적 사고,,3,3,0,금(10:00~12:50),이론,006-108,최동호,98,40 (40),31,,한국어,설강
교양,인문대학,철학과,학사,1학년,031.033,003,논리와 비판적 사고,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,005-107-1/005-107-1,이풍실,96,40 (40),33,,한국어,설강
교양,인문대학,철학과,학사,1학년,031.033,004,논리와 비판적 사고,,3,3,0,수(15:30~18:20),이론,006-103,이풍실,110,40 (40),32,,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,032.001,001,초급한국어,,2,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,003-106/003-106,박지용,13,20 (20),16,,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,032.002,001,중급한국어 1,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,003-107/003-107,김소영,12,20 (20),10,,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,032.003,001,중급한국어 2,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,003-108/003-108,김주상,20,20 (20),16,,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,032.004,001,고급한국어,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,014-103/014-103,이현주,13,20 (20),11,한국계 외국인,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,032.004,002,고급한국어,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,002-110/002-110,최보람,17,20 (20),18,비한국계 외국인,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.005,001,초급한문 1,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,001-101/001-101,신지영,51,40 (40),30,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.005,002,초급한문 1,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,005-211/005-211,서용준,68,40 (40),36,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.005,003,초급한문 1,,3,3,0,월(17:00~18:15)/수(17:00~18:15),이론/이론,006-108/006-108,정지현,45,40 (40),36,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.005,004,초급한문 1,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,001-101/001-101,양중석,49,40 (40),26,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.005,005,초급한문 1,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,005-212/005-212,이주현,47,40 (40),32,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.005,006,초급한문 1,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,005-212/005-212,주기평,52,40 (40),33,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.005,007,초급한문 1,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,008-303/008-303,김효신,59,40 (40),35,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.005,008,초급한문 1,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,001-101/001-101,김지현,60,40 (40),35,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.006,001,초급한문 2,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,001-101/001-101,최형섭,33,40 (40),27,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.006,002,초급한문 2,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,001-101/001-101,강성위,29,40 (40),16,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.006,003,초급한문 2,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,001-102/001-102,임도현,26,40 (40),18,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.007,001,중급한문,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,001-102/001-102,류종목,21,40 (40),17,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.007,002,중급한문,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,001-204/001-204,최형섭,10,40 (40),15,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.008,001,한문명작읽기,,3,3,0,월(12:30~13:45)/수(12:30~13:45),이론/이론,001-101/001-101,최형섭,14,40 (40),15,,한국어,설강
교양,인문대학,철학과,학사,1학년,032.009,001,역사와 철학 한문원전읽기,,3,3,0,수(14:00~16:50),이론,008-408,유용빈,19,60 (60),19,,한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,001,초급중국어 1,,3,3,1,월(09:30~10:45)/수(09:30~10:45)/수(17:00~17:50)/수(17:00~17:50),이론/이론/실습반1/실습반2,003-104/003-104/003-103/003-104,이성현,18,20 (20),12,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,002,초급중국어 1,,3,3,1,월(11:00~12:15)/수(11:00~12:15)/금(11:00~11:50),이론/이론/실습반1,003-103/003-103/001-210,이욱진,17,20 (20),10,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,004,초급중국어 1,,3,3,1,월(14:00~15:15)/수(14:00~15:15)/금(14:00~14:50),이론/이론/실습반1,003-103/003-103/003-105,김정남,13,20 (20),4,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,005,초급중국어 1,,3,3,1,월(15:30~16:45)/월(17:00~17:50)/월(17:00~17:50)/수(15:30~16:45),이론/실습반1/실습반2/이론,003-104/003-103/003-104/003-104,윤지양,29,20 (20),12,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,006,초급중국어 1,,3,3,1,화(09:30~10:45)/목(09:30~10:45)/목(17:00~17:50)/목(17:00~17:50),이론/이론/실습반1/실습반2,003-104/003-104/003-105/003-102,신미경,21,20 (20),13,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,007,초급중국어 1,,3,3,1,화(11:00~12:15)/목(11:00~12:15)/금(13:00~13:50)/금(13:00~13:50),이론/이론/실습반1/실습반2,003-103/003-103/002-102/002-104,서연주,17,20 (20),14,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,008,초급중국어 1,,3,3,1,화(09:30~10:45)/화(17:00~17:50)/목(09:30~10:45),이론/실습반1/이론,001-210/005-211/001-210,김혜림,11,20 (20),6,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,009,초급중국어 1,,3,3,1,화(14:00~15:15)/목(14:00~15:15)/목(17:00~17:50)/목(17:00~17:50),이론/이론/실습반1/실습반2,003-104/003-104/002-104/002-104-1,이윤희,27,20 (20),19,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,010,초급중국어 1,,3,3,1,화(14:00~15:15)/화(18:00~18:50)/목(14:00~15:15),이론/실습반1/이론,001-204/002-105/001-204,김지영,11,20 (20),5,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,011,초급중국어 1,,3,3,1,월(12:30~13:45)/수(12:30~13:45)/수(17:00~17:50)/수(17:00~17:50),이론/이론/실습반1/실습반2,014-103/014-103/005-211/014-104,이성현,22,20 (20),16,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,013,초급중국어 1,,3,3,1,화(15:30~16:45)/화(17:00~17:50)/화(17:00~17:50)/목(15:30~16:45),이론/실습반1/실습반2/이론,003-104/003-105/003-102/003-104,박지현,27,20 (20),19,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,014,초급중국어 1,,3,3,1,화(12:30~13:45)/화(18:00~18:50)/목(12:30~13:45),이론/실습반1/이론,003-108/003-116/003-108,김지영,16,20 (20),9,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.010,015,초급중국어 1,,3,3,1,화(11:00~12:15)/목(11:00~12:15)/금(11:00~11:50),이론/이론/실습반1,014-207/014-207/002-101,홍혜진,13,20 (20),7,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.011,001,초급중국어 2,,3,3,1,월(12:30~13:45)/월(17:00~17:50)/월(17:00~17:50)/수(12:30~13:45),이론/실습반1/실습반2/이론,008-304/083-401/083-501/008-304,김수희,14,20 (20),16,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.011,002,초급중국어 2,,3,3,1,화(14:00~15:15)/목(14:00~15:15)/목(17:00~17:50)/목(17:00~17:50),이론/이론/실습반1/실습반2,001-210/001-210/001-103/001-204,허윤정,13,20 (20),16,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.011,003,초급중국어 2,,3,3,1,화(09:30~10:45)/목(09:30~10:45)/금(10:00~10:50),이론/이론/실습반1,003-107/003-107/003-105,정세진,9,20 (20),7,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.011,004,초급중국어 2,,3,3,1,월(15:30~16:45)/월(18:00~18:50)/월(18:00~18:50)/수(15:30~16:45),이론/실습반1/실습반2/이론,003-108/003-103/003-104/003-108,신미경,18,20 (20),20,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
교양,인문대학,중어중문학과,학사,1학년,032.011,005,초급중국어 2,,3,3,1,화(12:30~13:45)/화(18:00~18:50)/목(12:30~13:45),이론/실습반1/이론,003-107/003-102/003-107,서연주,11,20 (20),8,"수강제한 관련 수강편람 필독, 랩수업 있음(주당 1시간)",한국어,설강
