강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2022학년도,   학기 : 1학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
전선,혁신공유학부,혁신공유학부,학사,1학년,M3500.000100,001,(공유)AI기초프로그래밍,,3,3,0,수(13:00~15:50),이론,301-B119,,3,40 (40),0,차세대반도체 혁신공유대학사업단 강좌,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3500.000200,001,(공유)AI입문,,3,3,0,목(13:00~15:50),이론,301-B119,,3,30 (30),0,차세대반도체 혁신공유대학사업단 강좌,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3500.002400,001,(공유)데이터 시각화,,3,3,0,,,,,7,300 (300),0,빅데이터 혁신공유대학사업단 강좌,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3500.003700,001,(공유)에너지와 기술의 경제학,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,38-428/38-428,허은녕,6,100 (100),0,ⓒ에너지신산업 혁신공유대학사업단 강좌,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,4학년,M3500.005700,001,(공유)지열에너지공학,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,38-418/38-418,민동주,2,50 (50),0,ⓒ에너지신산업 혁신공유대학사업단 강좌,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,4학년,M3500.001500,001,(공유)인공지능 하드웨어 설계 프로젝트,,2,0,4,목(18:00~21:50),실습,,,2,40 (40),0,ⓔ차세대반도체 혁신공유대학사업단 강좌,영어,설강
전선,혁신공유학부,혁신공유학부,학사,4학년,M3500.005200,001,(공유)에너지빅데이터분석,,3,3,0,,,,윤용태,4,50 (50),0,에너지신산업 혁신공유대학사업단 강좌,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,4학년,M3500.001300,001,(공유)인공지능시스템 설계 프로젝트,,2,0,4,화(18:00~21:50),실습,,,3,40 (40),0,,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3500.004000,001,(공유)인공지능입문,,3,3,0,,,,,3,120 (120),0,빅데이터 혁신공유대학사업단 강좌,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3500.000700,001,(공유)디지털 스토리텔링과 게임,,1,1,0,,,,,5,100 (100),0,빅데이터 혁신공유대학사업단 강좌,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3500.000300,001,(공유)빅데이터 개론 1,,3,3,0,,,,,4,300 (300),0,빅데이터 혁신공유대학사업단 강좌,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3500.000800,001,(공유)제너레이티브 디자인,,2,1,1,,,,,1,24 (24),0,빅데이터 혁신공유대학사업단 강좌,한국어,설강
전선,인문대학,노어노문학과,석박사통합,0,106.670,001,19세기러시아문학연습,19세기 러시아 낭만주의와 리얼리즘,3,3,0,화(13:00~15:50),이론,3-434,백승무,1,5 (5),0,,한국어,설강
전선,음악대학,음악과,석박사통합,0,650.511A,001,19세기음악사,,3,3,0,화(14:00~16:50),이론,220-417,오희숙,4,15 (15),0,,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3500.001100,001,(공유)처음 만나는 컴퓨터 하드웨어 디자인,,3,2,2,월(13:00~13:50)/월(14:00~14:50)/화(13:00~13:50)/화(14:00~14:50),이론/실습/이론/실습,301-207/301-207/301-207/301-207,,1,80 (80),0,차세대반도체 혁신공유대학사업단 강좌,한국어,설강
전선,인문대학,불어불문학과,학사,3학년,104.321,001,19세기프랑스소설,,3,3,0,월(12:30~13:45)/수(12:30~13:45),이론/이론,1-101/1-101,정예영,1,20 (20),0,,한국어,설강
전선,인문대학,불어불문학과,학사,3학년,104.315B,001,18세기프랑스문학,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,2-110/2-110,문경자,1,20 (20),0,,한국어,설강
전선,인문대학,영어영문학과,학사,2학년,M1236.001000,001,19세기 영국시,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,1-203/1-203,봉준수,0,40 (40),0,,한국어,설강
전선,인문대학,영어영문학과,학사,3학년,M1236.001700,001,19세기 영국소설,,3,3,0,월(12:30~13:45)/수(12:30~13:45),이론/이론,3-102/3-102,정서현,3,40 (40),0,,한국어,설강
전선,인문대학,영어영문학과,석박사통합,0,103.658A,001,19세기영국소설,,3,3,0,목(13:30~16:20),이론,2-306,,1,10 (10),0,,한국어,설강
전선,혁신공유학부,혁신공유학부,학사,1학년,M3500.004400,001,(공유)프로그래밍 기초,,3,3,0,,,,,0,200 (200),0,빅데이터 혁신공유대학사업단 강좌,한국어,설강
전선,사범대학,역사교육과,학사,4학년,712.332A,001,20세기현대사,,3,3,0,월(10:00~13:50),이론,12-405,이시연,3,20 (20),0,ⓔ타과생 수강불허,영어,설강
전선,공과대학,컴퓨터공학부,학사,4학년,M3244.000400,001,AI와 법,,3,3,0,금(14:00~16:50),이론,15-1-301,박도현,13,50 (50),0,"(수강신청 1~4일) 연합전공 인공지능, 컴퓨터공학부 주전공(자유전공학부 포함), 전기·정보공학부 주전공(자유전공학부 포함) 신청 가능. (수강신청 5일차부터) 전체 학생 신청 가능 (정원내 신청 가능)",한국어,설강
전선,사범대학,AI융합교육학과,석사,1학년,M3450.001400,001,AI 융합교육을 위한 인문사회 컨텐츠 설계,,3,3,0,목(18:30~21:20),이론,10-103,이상일,3,25 (25),0,,한국어,설강
전선,인문대학,서양사학과,학사,3학년,112.323,001,20세기 전반의 역사,,3,3,0,수(15:30~18:20),이론,6-105,한정숙,5,40 (40),0,,한국어,설강
전선,인문대학,국사학과,학사,1학년,100.134,001,20세기한국사,,3,3,0,목(13:00~15:50),이론,14-203,이동원,3,50 (50),0,,한국어,설강
전선,인문대학,동양사학과,학사,3학년,111.415,001,20세기일본의 역사,,3,3,0,화(14:00~16:50),이론,14-610,박훈,6,20 (20),0,,한국어,설강
